UUID,Area of Expertise,Programming,Past Experience,Course Prefs
43dc417b-ef8a-4830-a3d3-c1e6c99c020c,"I have experience in Software Architecture and Design, including completing coursework on the subject. I also have experience working on large group projects including: -IndoorExploor: Developed, along with 2 peers, a Mixed Reality indoor navigation app for the Microsoft HoloLens, using Unity and C#. The app allows the wearer to navigate a warehouse by receiving pickup and drop off points from a server and navigating them along the shortest path with virtual arrows. The user loads the information about the indoor environment by scanning a QR code with the HoloLens. The user can then load the jobs he/she is required to complete from a warehouse management server. -BookMe Reservation Platform: Developed, along with 3 peers, a reservation platform consisting of a web app, programmed in node.js and express, that allows venue providers to draw the seating in their venues and an Android app that allows users to reserve spots/seats in these venues.  I have experience using the Python machine learning libraries such as tensorflow, Keras, and scikit-learn. I also have experience with libraries that aid in data preprocessing such as NumPy and pandas. This is through coursework I've completed in Data Mining as well as an undergraduate research project in Emotion Recognition. My task was developing machine learning models to accurately predict a user’s emotions based on physiological signals such as the Electrocardiogram (ECG), Electroencephalogram (EEG), and Galvanic Skin Response (GSR) signals.  I also have experience in programming micro-controllers in C and in PIC Assembly. Most notably I programmed an LCD Maze Solver in PIC assembly which allowed the user to draw a maze on an LCD screen and then solve it automatically.  I have also completed a course on Numerical Optimization course which covered several concepts in optimization, such as Newton’s method for nonlinear equations and unconstrained optimization, Simplex and interior-point methods for linear programming, equality and inequality-constrained optimization and sequential quadratic programming. The course also included implementation in Python using various numerical libraries.  I have also completed a course in Database Systems. This course covered concepts of database design and database system implementation. Specifics topics covered included SQL, data modeling, database storage and indexing, database design theory, database application development, normalization, relational algebra, and relational calculus. The course also included implementation through the use of Microsoft’s SQL SSMS.","I've had multiple years of experience programming in C/C++ and completed multiple projects. These projects include: -Developed a C++ program, using the OpenCV library, which takes a hand-drawn sketch of the state diagram of a Finite State Machine and produces a VHDL code of the FSM. The program also displays a GUI with its interpretation of the sketch and allows the user to correct it if mistakes are present. -Developed, along with 1 peer, a Qt game app with a user login, 3 games, and a leaderboard. -Completed multiple concurrent programming assignments as part of an Operating Systems course in C, such as a message passing system, and a basic device driver. This included multi-threading in C, and using semaphores and mutexes to resolve various conflicts like race conditions and deadlocks.  -Programmed micro-controllers in C as part of a System Integration laboratory. -Developed, along with 2 peers, an AI agent that uses A* graph search and a well-designed heuristic to solve Sokoban.  I've had multiple years of experience programming in Java, including completing a course in Object-Oriented and Effective Java programming. I've also completed multiple projects in Java including a Game Room, with a user login, real-time multiplayer 2D games, and real-time global and private chat rooms, which was implemented with socket programming.   I am familiar with VHDL. I've completed three courses that involved VHDL assignments and projects, the Digital Systems Design course, a Computer Organization course, and a Computer Organization Lab.   I have experience working on multiple Linux distributions including Red Hat Linux and multiple Ubuntu versions. The Qt Game Client under my C/C++ experience was developed on Ubuntu 16.04. I am also familiar with bash. Additionally, I have experience working with Windows as it is the operating system I've been using for the majority of my projects.",CourseTitleInstructorPositionWhenICS 32Programming with Software LibrariesMustafa IbrahimTA2023-springICS 45CProgramming in C/C++ as a Second LaMustafa IbrahimTA2023-fallSWE 264PDistributed Software ArchitectureSam MalekTA2021-winterCS 118Intro to VRAditi MajumderTA2023-winter,CourseTakenGradeICS 51NICS 32NICS 33NICS 31N
d0f189c8-9aac-46d6-9b15-c88e19b4c613,I consider my area of expertise to be media literacy and pedagogy. I don't have any particularly special qualifications in computer science. I have about six semesters-worth of experience in designing and teaching online courses (primarily asynchronous through Canvas and Blackboard) for university and community college courses (Cal Poly Pomona and Chaffey College). Online courses I have taught include: Public Speaking Interpersonal Communication Small Group Communication,"I have no experience with Unix and limited use of coding languages (primarily SQL). I have a decent knowledge with Windows Operating Systems, as I have used it as my primary for over 20 years, along with installing and troubleshooting when building my PCs.",CourseTitleInstructorPositionWhenINF 151Project ManagementGloria MarkTA2020-fallINF 284Advanced DesignKatie SalenTA2021-winterINF 062Game Technology and Interactive MedRainforest Scully-BlakerTA2021-spring,CourseTakenGradeINF 164NICS 080NICS 163NINF 161YA
bf892218-1e93-4829-aeaa-caef07d11a52,"Human Computer Interaction, Human Centered Design, User Centered Design, User Interface Prototyping, High Fidelity Prototyping, Usability/ User Testing, Research Methods, UX Professional Experience",No prior experience with core CS / Engineering concepts,CourseTitleInstructorPositionWhenINF 151Project ManagementPing ChenTA2021-fallINF 284Advanced PrototypingKatie Salen TekinbasTA2022-winterGDIM165Games & EnterpreneurshipJustin BritchTA2022-springINF 281User Need AnalysisAnne Marie PiperTA2022-fall,CourseTakenGradeINF 281YAINF 282YAINF 280NINF 284YA
069c0e89-f461-426b-9b0a-50a71449f43f,"Area of Expertise:  My areas of strength are Software engineering, JAVA, Algorithms, Data Structures, Programming, and Databases which I gained practical experience as part of my professional journey of 4 years. I also got better at my communication skills, giving presentations, forum discussions, mentorship, and providing technical assistance as part of my volunteering, professional and college experience.  Technical Expertise in Computer Science:  1. My top strengths are Software Engineering, Java, C, Object Oriented Programming, Algorithms, and Data Structures.  As part of my Bachelor's degree obtained a GPA of 3.96/4 and learned the subjects in theory as well as lab sessions: JAVA, C, C++, Object Oriented Programming, Python, SQL, Artificial Intelligence, Operating Systems, Data Structures, Microprocessors, Computer Architecture and Organisation, Systems Programming, Design and Analysis of Algorithms, Mobile Programming, Design Patterns, Software Engineering, Computer Networks, Database Management Systems, Machine Learning, Data Warehouses, Language Processors 2. I have worked on projects in my under graduation focused on topics       - IoT (Internet of Things) -> Technology: Java, Arduino, RasberryPi      - Web application Development -> Technology: Java, Spring MVC, MySQL, HTML, CSS, Javascript, REST API      - Convolutional Neural Network for Image Processing ->, Technology: Deep Learning, Python, TensorFlow 2. I have professional experience of 4 years with programming, databases, algorithms, software engineering, and computer networks. I worked in a pharmaceutical domain at ZS Associates organization, where I was working on automating a web application using Java programming, and SQL databases. I am also good with Big data, systems, and data warehousing as part of my professional experience at the organization Fivetran. 3. I am also good with Cloud computing (AWS, CGP), Machine learning and have done Coursera and Udemy certifications on the same.  Teaching Experience: 1. I was actively engaged as a volunteer at an NGO, Ayukta, where we were teaching Maths and English to higher secondary school students online.  2. I also have experience mentoring team members as part of my professional work experience at ZS Associates and Fivetran in the WFH model. 3. I was also part of the Students Representative Council at my bachelor's university, where I gave technical workshops on various subjects to juniors.","- Proficient in JAVA, C, C++, SQL (Experience of 4+ years) I learned the subjects as part of my Bachelor's. I also worked dominantly in software development with these languages in my professional journey of 4 years.  - Proficient with Windows and macOS operating systems (Experience of 3years-Windows + 1year-macOS) I am also proficient with Windows & macOS operating systems, command line interface of the same  - I am also proficient with Python, MySQL, and Postgres. (Experience of 4+ years) I worked on Python as part of my undergraduate projects on ML. I also worked on databases Postgres and MySQL as part of my professional experience.",,CourseTakenGradeICS 6DY9CS 122AY10ICS 45JY10CS 132Y10
90b8f4d0-c5b5-42f6-b810-57e087f1f059,"My area of expertise is programming languages. I’m good at Python and Java for back-end and HTML and Javascript for front-end. I was a TA in Python class for 1 year in Sogang University. Therefore, I know how to teach Python from basics. Furthermore, I programmed a web page from the scratch using Python and Django when I took a capstone design class and I worked as a software engineer using React.js, Vue.js, Java and Spring Framework. I worked at industry for 3 years and I know how computer science knowledge can be used for software engineer.","I took an Introduction to Java Language and got A+ grade when I was undergraduate. I have SQL developer nationally accredited certification from South Korea. For three years as a software engineer, I used Java for back-end programming and sometimes I worked on database structures. About C++, I studied some useful libraries for algorithms in C++. I have a little experience on operating system. For example, I had to use Linux commands in server terminal.",CourseTitleInstructorPositionWhenINF 121SOFTWARE DESIGN 1Andre van der HoekTA2022-fallICS 32/32AProgramming with Software LibrariesAlberto Krone MartinsTA2023-winterINF 285INTERACTIVE TECHDon PattersonTA2023-spring,CourseTakenGradeINF 281NINF 282NINF 121NINF 43N
d0840ad8-5a7e-4e0c-90e8-4c3c944cb749,"I did TA for the CS172B/274C class in Spring 2023 under the advisor Pierre Baldi. I did TA for the CS178 class in Winter 2023 under the advisor Alex Ihler. I did TA for the CS117 class in Fall 2022 under the advisor Alex Berg. I did TA for the CS178 class in Fall 2020 online under the advisor Alex Ihler. I also did TA in my undergrad University for Advanced Machine Learning class.  My primary expertise is in Machine Learning, Statistical Machine Learning, and Deep Learning.","I have some experience with UNIX systems and some experience with Java, C++, and C from my undergraduate studies.",CourseTitleInstructorPositionWhenCS 178Machine Learning and Data-MiningAlex IhlerTA2020-fallCS 117Project in Computer VisionUniversity of ThessalyTA2022-fallCS 178Machine Learning and Data-MiningAlex IhlerTA2023-winterCS 172B/274CDeep Learning and Neural NetworksPierre BaldiTA2023-spring,CourseTakenGradeCS 117NCS 175NCS 273ANCS 178N
f2ba1f18-4ef6-4d76-b00f-e134e8bef5b9,"I am really eager to take TA responsibilities in ML/AI courses to strengthen my knowledge in them (I took AI/ML courses and passed them with A's). Moreover, I have TA experience in the following courses: 1- Embedded systems and Internet of Things 2- Linear Algebra My responsibilities were mainly correcting students' exam papers and preparing Homework for them as a member of the teaching team.","If I have to rate my experience with programming languages and OSs from 1 to 5, the following list demonstrates my skills: Python: 4 C++: 3 Java: 3 Windows: 4 Linux: 3",CourseTitleInstructorPositionWhenICS 6DBoolean logic & Discrete structuresIrene GasskoReader2022-springICS 31Intro to Python ProgrammingShannon AlfaroTA2022-fallICS 6BBoolean Logic and Discrete StructurGopi Meenakshisundaram TA2023-winterICS 147Internet of Things (IoT) Software aSergio GagoTA2023-spring,CourseTakenGradeICS 178YICS 31YICS 45YICS 147Y
41f123c9-da24-4c07-bd35-f96bacee75e1,"The following are my areas of expertise: Data Structures and Algorithms,  Web Development, Computer Networks, Data Analytics, Parallel Computing, Databases, Operating Systems, Cloud Computing and Security.  I have 3 years of experience as a Software Engineer for at Cisco. I have experience with programming languages such as C, C++, Java, JavaScript, Python, SQL, HTML, CSS and technology stacks such as Angular, React, Spring boot, Kubernetes, Docker, PostgresSQL, Elastic Search, Amazon Web Services (AWS), Git, and REST APIs. Additionally, I have experience managing the security of web applications by designing threat models, identifying and fixing security vulnerabilities.   Recently, I have worked as a Summer Intern for Adobe wherein I have worked on their high performance Web application development.  During my time at Cisco, I have instructed Support Engineers in the use of Kubernetes, SQL, and debugging techniques during Support training sessions. In addition to this I have served as a mentor to new hires and interns, guiding them in the development of micro services and Angular applications.","During my undergraduate studies, I studied Java, VHDL, C and C++. 1. Java: •Skill level: Advanced •Studied Java as part of my undergraduate degree course •Developed numerous Springboot applications during my time at Cisco •Created a data flow pipeline for collecting, processing, and storing telemetry data from Cisco devices •Mentored interns and new hires in the development of microservices •Completed certifications from NIIT and Udemy   2. C/C++: •Skill level: Advanced •First programming language learned in high school •Completed a course on programming in C during undergraduate studies •Utilized C++ to develop code for interacting with Cisco Cloud Agent Devices •Experience with Embedded C and C++ in hackathon projects during undergraduate studies  3. SQL: •Skill level: Advanced •Extensive experience utilizing PostgresSQL to store and retrieve customer data via microservices in Cisco •Optimized queries for improved speed and reliability in data retrieval. •Provided SQL training in support sessions at Cisco.  4. VHDL: •Skill level: Intermediate to Advanced •I studied VHDL as part of my undergraduate degree •Completed a course project designing an 8-bit ALU using XLinx •Created flip-flops and 7-segment display using Verilog code  I have hands-on experience with kali, ubuntu, macOS, and Windows operating systems.  1. Linux: •Skill level: Intermediate to Advanced •Extensive experience using Ubuntu while interacting with Cisco Cloud Agent VMs at Cisco •Familiarity in creating shell scripts on Ubuntu. •Experience with using Debian OS when working with Raspberry Pi to process sensor data.  2. macOS: •Skill level: Advanced •Mainly used MacBook for development for the past 4 years during my tenure as a software engineer at Cisco •Developed a macOS application for capturing screen recordings, processing images to retrieve data for raising support tickets as part of a hackathon at Cisco. •Ability to troubleshoot and resolve common macOS issues •Knowledge of macOS scripting languages such as Bash and Python  3. Windows: •Skill level: Advanced •Utilized Windows OS for tasks such as using Matlab and other simulation tools during my undergraduate degree •Ability to troubleshoot and resolve common Windows issues •Familiarity with using Windows for virtualization and remote desktop connections •Knowledge of Windows scripting languages such as PowerShell or batch scripting  Other experiences:  1. Python: •Skill level: Intermediate to Advanced •Completed certification on Python from Udemy •Utilized Python to write scripts for migrating customer data from Elastic Search Database to Postgres SQL at Cisco •Used Python for machine learning to optimize PR pipelines and workflows at Cisco  2. Cloud Computing: •Skill level: Advanced •Developed applications using cloud infrastructure solutions such as Kafka, Elasticsearch, Elastic Kubernetes Service, Lambda, and AWS SQS •Worked on configuring and deploying microservices on AWS S3 •Completed AWS Cloud Practitioner certification  3.Computer Networking: •Skill level: Advanced •Studied Computer Communication Networks in undergraduate degree which included both theory and laboratory work •Worked on customer onboarding by setting up Cisco DNACs and Cloud agents on customer networks.",,CourseTakenGradeCS 134YACS 167YAICS 45JYAICS 45CYA
bce8f88d-918d-427a-9068-32482b5091aa,"1. Area of Expertise: Psychology, Cognitive Science, Human-Computer Interaction, Project Management, Assistive Technology, Accessibility 2. Computer Science: UX Research & 400 hours of Data Analytics  3. No",1. None 2. Moderate 3. None,,CourseTakenGradeINF NICS 4Y
94c5cefe-a4a2-4f4e-8941-d860804887a8,"My areas of interest and expertise are CS theory, algorithms, and ML/AI. I attended UCI for my undergraduate degree, so I am very familiar with the coursework and content covered in most ICS/COMPSCI courses. Aside from courses I took as part of my degree requirements, I delved deeper into my areas of interest and expertise by taking electives such as graph algorithms, machine learning and data mining, formal language and automata theory, applications of probability in CS, etc.   I previously conducted research with Professor Al Faruque about using GNNs for hardware security, and I also currently do research with Professor Shindler about CS education. I co-authored and presented a paper about the landscape of algorithms education across universities in the U.S. and am currently working on a study about dynamic programming misconceptions. During my M.S. degree, I plan to also conduct research in the areas of deep learning and statistical machine learning techniques. I have also worked as a reader/grader for 3 quarters of ICS 46 with Professor Shindler, so I am familiar with how those types of exams are created, graded, and explained to students. Additionally, I have had a wide variety of experiences with industry-focused programming through my 3 previous internships.   In terms of online courses, I was a private lesson instructor at iDTech for a year -- I taught students Python, Java, C++, and math over Zoom.","I first learned Java in high school, so I have over 5 years of experience programming in Java (Python and Java are the two languages I use most often). I am comfortable programming in C++ and SQL as well. My experience with VHDL is more limited; I've taken EECS courses with VHDL projects, but haven't used it extensively otherwise. Scheme and C are the languages I am least familiar with.   In terms of operating systems, I have worked the most with and am most familiar with Linux and macOS. I regularly use a Macbook for all my programming assignments and projects. Although I don't typically interact with Windows systems, I am also fairly comfortable working with that environment if needed.  Aside from the ones already mentioned, I am extremely familiar and comfortable with Python. I have additionally used Verilog, Scala, Go, RISC-V (assembly), HTML, CSS, Javascript, and a few other languages that are typically not used in school curricula. I am also well-versed in tools such as Jupyter notebooks, IDEs like VSCode/PyCharm/Vivado, and software management suites like Github. Since I was at UCI for my Bachelor's degree, I am also largely familiar with the languages, databases, and content covered in courses required for a CS or CSE degree.",CourseTitleInstructorPositionWhenICS 46DATA STRC IMPL&ANLSMichael ShindlerReader2022-springICS 46DATA STRC IMPL&ANLSMichael ShindlerReader2022-fallICS 46DATA STRC IMPL&ANLSMichael ShindlerReader2022-winter,CourseTakenGradeICS 46YACS 171YAINF 43YAICS 31N
