UUID,background_key_words
43dc417b-ef8a-4830-a3d3-c1e6c99c020c,"-Completed,32NICS,33NICS,45CProgramming,51NICS,Android,C,C++,C/C++,Client,Computer,Course,CourseTakenGradeICS,CourseTitleInstructorPositionWhenICS,ECG,IbrahimTA2023-fallSWE,IbrahimTA2023-springICS,Java,LCD,Linux,MajumderTA2023-winter,MalekTA2021-winterCS,OpenCV,PIC,Python,SQL,Ubuntu,VHDL,VRAditi,Windows,scikit-learn"
d0f189c8-9aac-46d6-9b15-c88e19b4c613,"080NICS,164NICS,Cal,Canvas,Chaffey,College,Communication,Course,CourseTakenGradeINF,CourseTitleInstructorPositionWhenINF,MarkTA2020-fallINF,PCs,SQL,SalenTA2021-winterINF,Scully-BlakerTA2021-spring,Unix,Windows"
bf892218-1e93-4829-aeaa-caef07d11a52,"BritchTA2022-springINF,CS,Centered,ChenTA2021-fallINF,Computer,Course,CourseTakenGradeINF,CourseTitleInstructorPositionWhenINF,PiperTA2022-fall,TekinbasTA2022-winterGDIM165Games"
069c0e89-f461-426b-9b0a-50a71449f43f,"122AY10ICS,3years-Windows,45JY10CS,6DY9CS,AWS,C,C++,CGP,CSS,Cloud,Computer,Convolutional,Council,Course,CourseTakenGradeICS,Coursera,English,HTML,Java,Javascript,MVC,MySQL,Python,SQL,TensorFlow,Windows,communication,engineering"
90b8f4d0-c5b5-42f6-b810-57e087f1f059,"285INTERACTIVE,C++,Course,CourseTakenGradeINF,CourseTitleInstructorPositionWhenINF,Django,HTML,HoekTA2022-fallICS,Java,Javascript,Linux,MartinsTA2023-winterINF,PattersonTA2023-spring,Python,React.js,SQL,TA,TECHDon,Vue.js,developer,engineer"
d0840ad8-5a7e-4e0c-90e8-4c3c944cb749,"117NCS,172B/274CDeep,175NCS,273ANCS,BaldiTA2023-spring,C,C++,CS117,CS172B/274C,CS178,Computer,Course,CourseTakenGradeCS,CourseTitleInstructorPositionWhenCS,IhlerTA2020-fallCS,IhlerTA2023-winterCS,Java,TA,ThessalyTA2022-fallCS"
f2ba1f18-4ef6-4d76-b00f-e134e8bef5b9,"178YICS,31YICS,45YICS,AlfaroTA2022-fallICS,C++,Course,CourseTakenGradeICS,CourseTitleInstructorPositionWhenICS,GagoTA2023-spring,GasskoReader2022-springICS,Java,Linux,Python,StructurGopi,TA,TA2023-winterICS,Windows"
41f123c9-da24-4c07-bd35-f96bacee75e1,"134YACS,167YAICS,3.Computer,45CYA,45JYAICS,AWS,Angular,C,C++,C/C++,CSS,Cisco,Cloud,Communication,Computer,Computing,Course,CourseTakenGradeCS,DNACs,Debian,Docker,Git,HTML,Java,JavaScript,Kubernetes,Linux,PostgresSQL,Python,React,SQL,Ubuntu,VHDL,Verilog,Windows,engineer,intern,•Completed,•Created"
bce8f88d-918d-427a-9068-32482b5091aa,"Cognitive,Computer,Course,CourseTakenGradeINF,Human-Computer,NICS"
94c5cefe-a4a2-4f4e-8941-d860804887a8,"43YAICS,46DATA,46YACS,C,C++,CS,CSE,CSS,Course,CourseTakenGradeICS,CourseTitleInstructorPositionWhenICS,EECS,Github,Go,HTML,ICS,ICS/COMPSCI,Java,Javascript,Linux,Python,RISC-V,SQL,STRC,Scala,ShindlerReader2022-fallICS,ShindlerReader2022-springICS,UCI,VHDL,VSCode/PyCharm/Vivado,Verilog,Windows,internship"
